2|jason@druce.com|3427534|Jason|Druce|34|12|3
3|henry@walker.com|6455387|Henry|Walker|47|1|5
4|bob@jones.ca|2549706|Bob|Jones|84|43|12
5|hilary@swank.com|265684|Hilary|Swank|94|50|2
6|roger@doger.co.uk|109599|Roger|Doger|97|39|1
7|fred@astaire.com|243674|Fred|Astaire|945|32|4
8|john@smith.com|8325612|John|Smith|45|21|5
9|jim@patterson.com|10904323|Jim|Patterson|86|8|0
10|ginger@rogers.com|24116739|Ginger|Rogers|96|6|0
11|rockvole@gmail.com|4275240|David|Thomson|19|50|2
1|writeserver@foodaversions.com|2431567|Write|Server|34|65|0
