2|jason@druce.com|3427534|Jason|Druce|98|12|3|        43892|2|183|234234|A big store|0
3|henry@walker.com|6455387|Henry|Walker|43|1|5|       6848|3|184|23423|Expensive peppers|0
4|bob@jones.ca|2549706|Bob|Jones|76|43|12|            234823|3|893|234234|Makes Aero|0
5|hilary@swank.com|265684|Hilary|Swank|52|50|2|       120772104|2|124|23423|Canadian Superstore|0
6|roger@doger.co.uk|109599|Roger|Doger|57|39|1|        92494|2|153|345534|Nice ice cream|0
7|fred@astaire.com|243674|Fred|Astaire|75|32|4|        12304|1|938|34534|Bit Fishy|0
8|john@smith.com|8325612|John|Smith|47|21|5|          95345|3|34|456456|Corn Flakes|0
9|jim@patterson.com|10904323|Jim|Patterson|76|8|0|    1503|2|15|435345|Makes Oats|0
10|ginger@rogers.com|24116739|Ginger|Rogers|49|6|0|    8355|1|224|345345|Costco|0
11|rockvole@gmail.com|4275240|David|Thomson|58|50|2|  3498934|1|73|345345|Burger Joint|0
